Source,Target,Type,Id,Label,timeset,Weight,airline,source_airport,dest_airport,codeshare,equipment,airline_name,airline_iata,airline_icao,airline_callsign,airline_country,source_airport_name,source_airport_city,source_airport_country,source_airport_iata,source_airport_icao,source_airport_latitude,source_airport_longitude,source_airport_type,source_airport_data_source,dest_airport_name,dest_airport_city,dest_airport_country,dest_airport_iata,dest_airport_icao,dest_airport_latitude,dest_airport_longitude,dest_airport_type,plane_name,plane_iata,plane_icao,edge,background_map_edge
5726,3830,Directed,260,,,1,3E,BRL,ORD,,CNC,Air Choice One,3E,\N,,United States,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.783199,-91.125504,airport,OurAirports,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,airport,,,,"('BRL', 'ORD')",
5726,3678,Directed,261,,,1,3E,BRL,STL,,CNC,Air Choice One,3E,\N,,United States,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.783199,-91.125504,airport,OurAirports,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,airport,,,,"('BRL', 'STL')",
4042,3830,Directed,262,,,1,3E,DEC,ORD,,CNC,Air Choice One,3E,\N,,United States,Decatur Airport,Decatur,United States,DEC,KDEC,39.834599,-88.8657,airport,OurAirports,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,airport,,,,"('DEC', 'ORD')",
4042,3678,Directed,263,,,1,3E,DEC,STL,,CNC,Air Choice One,3E,\N,,United States,Decatur Airport,Decatur,United States,DEC,KDEC,39.834599,-88.8657,airport,OurAirports,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,airport,,,,"('DEC', 'STL')",
3591,3678,Directed,264,,,1,3E,JBR,STL,,CNC,Air Choice One,3E,\N,,United States,Jonesboro Municipal Airport,Jonesboro,United States,JBR,KJBR,35.831699,-90.6464,airport,OurAirports,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,airport,,,,"('JBR', 'STL')",
3830,5726,Directed,265,,,1,3E,ORD,BRL,,CNC,Air Choice One,3E,\N,,United States,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,airport,OurAirports,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.783199,-91.125504,airport,,,,"('ORD', 'BRL')",
3830,4042,Directed,266,,,1,3E,ORD,DEC,,CNC,Air Choice One,3E,\N,,United States,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,airport,OurAirports,Decatur Airport,Decatur,United States,DEC,KDEC,39.834599,-88.8657,airport,,,,"('ORD', 'DEC')",
3678,5726,Directed,267,,,1,3E,STL,BRL,,CNC,Air Choice One,3E,\N,,United States,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,airport,OurAirports,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.783199,-91.125504,airport,,,,"('STL', 'BRL')",
3678,4042,Directed,268,,,1,3E,STL,DEC,,CNC,Air Choice One,3E,\N,,United States,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,airport,OurAirports,Decatur Airport,Decatur,United States,DEC,KDEC,39.834599,-88.8657,airport,,,,"('STL', 'DEC')",
3678,3591,Directed,269,,,1,3E,STL,JBR,,CNC,Air Choice One,3E,\N,,United States,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,airport,OurAirports,Jonesboro Municipal Airport,Jonesboro,United States,JBR,KJBR,35.831699,-90.6464,airport,,,,"('STL', 'JBR')",
3682,6958,Directed,443,,,1,3M,ATL,LWB,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,airport,OurAirports,Greenbrier Valley Airport,Lewisburg,United States,LWB,KLWB,37.858299,-80.399498,airport,Saab SF340A/B,SF3,SF34,"('ATL', 'LWB')",
3682,3754,Directed,444,,,1,3M,ATL,MCN,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,airport,OurAirports,Middle Georgia Regional Airport,Macon,United States,MCN,KMCN,32.692799,-83.6492,airport,Saab SF340A/B,SF3,SF34,"('ATL', 'MCN')",
3682,4335,Directed,445,,,1,3M,ATL,MEI,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,airport,OurAirports,Key Field,Meridian,United States,MEI,KMEI,32.3326,-88.7519,airport,Saab SF340A/B,SF3,SF34,"('ATL', 'MEI')",
3682,5756,Directed,446,,,1,3M,ATL,MSL,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,airport,OurAirports,Northwest Alabama Regional Airport,Muscle Shoals,United States,MSL,KMSL,34.7453,-87.610199,airport,Saab SF340A/B,SF3,SF34,"('ATL', 'MSL')",
3682,5759,Directed,447,,,1,3M,ATL,PIB,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,airport,OurAirports,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,PIB,KPIB,31.4671,-89.337097,airport,Saab SF340A/B,SF3,SF34,"('ATL', 'PIB')",
3682,5773,Directed,448,,,1,3M,ATL,TUP,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,airport,OurAirports,Tupelo Regional Airport,Tupelo,United States,TUP,KTUP,34.268101,-88.769897,airport,Saab SF340A/B,SF3,SF34,"('ATL', 'TUP')",
3875,3533,Directed,452,,,2,UA,EYW,FLL,Y,SF3,United Airlines,UA,UAL,UNITED,United States,Key West International Airport,Key West,United States,EYW,KEYW,24.556101,-81.759598,airport,OurAirports,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,airport,Saab SF340A/B,SF3,SF34,"('EYW', 'FLL')",
3875,3793,Directed,453,,,2,UA,EYW,RSW,Y,SF3,United Airlines,UA,UAL,UNITED,United States,Key West International Airport,Key West,United States,EYW,KEYW,24.556101,-81.759598,airport,OurAirports,Southwest Florida International Airport,Fort Myers,United States,RSW,KRSW,26.5362,-81.755203,airport,Saab SF340A/B,SF3,SF34,"('EYW', 'RSW')",
3875,3646,Directed,454,,,4,WN,EYW,TPA,Y,73W,Southwest Airlines,WN,SWA,SOUTHWEST,United States,Key West International Airport,Key West,United States,EYW,KEYW,24.556101,-81.759598,airport,OurAirports,Tampa International Airport,Tampa,United States,TPA,KTPA,27.9755,-82.533203,airport,Saab SF340A/B,SF3,SF34,"('EYW', 'TPA')",
3533,3875,Directed,457,,,2,UA,FLL,EYW,Y,SF3,United Airlines,UA,UAL,UNITED,United States,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,airport,OurAirports,Key West International Airport,Key West,United States,EYW,KEYW,24.556101,-81.759598,airport,Saab SF340A/B,SF3,SF34,"('FLL', 'EYW')",
3533,3878,Directed,461,,,3,UA,FLL,MCO,Y,SF3,United Airlines,UA,UAL,UNITED,United States,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,airport,OurAirports,Orlando International Airport,Orlando,United States,MCO,KMCO,28.429399,-81.308998,airport,Saab SF340A/B,SF3,SF34,"('FLL', 'MCO')",
3533,3646,Directed,464,,,5,WN,FLL,TPA,Y,73W,Southwest Airlines,WN,SWA,SOUTHWEST,United States,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,airport,OurAirports,Tampa International Airport,Tampa,United States,TPA,KTPA,27.9755,-82.533203,airport,Saab SF340A/B,SF3,SF34,"('FLL', 'TPA')",
6130,5773,Directed,469,,,1,3M,GLH,TUP,,SF3,Silver Airways (3M),3M,\N,Silver Wings,United States,Mid Delta Regional Airport,Greenville,United States,GLH,KGLH,33.482899,-90.985603,airport,OurAirports,Tupelo Regional Airport,Tupelo,United States,TUP,KTUP,34.268101,-88.769897,airport,Saab SF340A/B,SF3,SF34,"('GLH', 'TUP')",
3472,3878,Directed,470,,,2,UA,GNV,MCO,Y,SF3,United Airlines,UA,UAL,UNITED,United States,Gainesville Regional Airport,Gainesville,United States,GNV,KGNV,29.6901,-82.271797,airport,OurAirports,Orlando International Airport,Orlando,United States,MCO,KMCO,28.429399,-81.308998,airport,Saab SF340A/B,SF3,SF34,"('GNV', 'MCO')",
3472,3646,Directed,471,,,2,UA,GNV,TPA,Y,SF3,United Airlines,UA,UAL,UNITED,United States,Gainesville Regional Airport,Gainesville,United States,GNV,KGNV,29.6901,-82.271797,airport,OurAirports,Tampa International Airport,Tampa,United States,TPA,KTPA,27.9755,-82.533203,airport,Saab SF340A/B,SF3,SF34,"('GNV', 'TPA')",
