Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
2965,2990,Directed,67663,,,1,AER,KZN,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2966,2990,Directed,67664,,,1,ASF,KZN,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2966,2962,Directed,67665,,,1,ASF,MRV,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2968,2990,Directed,67666,,,1,CEK,KZN,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2968,4078,Directed,67667,,,2,CEK,OVB,,0,A81,2G,Cargoitalia,\N,2G,CRG,WHITE PELICAN,Italy,N,
4029,2990,Directed,67668,,,4,DME,KZN,,0,735,UN,Transaero Airlines,\N,UN,TSO,TRANSOVIET,Russia,Y,
4029,6969,Directed,67669,,,1,DME,NBC,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
4029,6160,Directed,67671,,,1,DME,UUA,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6156,2952,Directed,67672,,,1,EGO,KGD,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6156,2990,Directed,67673,,,1,EGO,KZN,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2922,6969,Directed,67674,,,1,GYD,NBC,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2952,6156,Directed,67675,,,1,KGD,EGO,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2990,2965,Directed,67676,,,1,KZN,AER,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2990,2966,Directed,67677,,,1,KZN,ASF,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2990,2968,Directed,67678,,,1,KZN,CEK,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2990,4029,Directed,67679,,,4,KZN,DME,,0,735,UN,Transaero Airlines,\N,UN,TSO,TRANSOVIET,Russia,Y,
2990,6156,Directed,67680,,,1,KZN,EGO,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2990,2948,Directed,67681,,,3,KZN,LED,,0,A81,SU,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y,
2990,2975,Directed,67682,,,1,KZN,SVX,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2948,2990,Directed,67683,,,3,LED,KZN,,0,A81,SU,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y,
2948,6969,Directed,67684,,,1,LED,NBC,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2948,6160,Directed,67685,,,1,LED,UUA,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2962,2966,Directed,67686,,,1,MRV,ASF,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6969,4029,Directed,67687,,,1,NBC,DME,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6969,2922,Directed,67688,,,1,NBC,GYD,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6969,2948,Directed,67689,,,1,NBC,LED,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6969,2975,Directed,67690,,,1,NBC,SVX,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2972,2975,Directed,67691,,,2,NJC,SVX,,0,AT7,UR,UTair-Express,\N,UR,\N,AEROCONDOR,Russia,Y,
2972,6160,Directed,67692,,,2,NJC,UUA,,0,CR2,IOS,Isles of Scilly Skybus,\N,2B,IOS,SCILLONIA,United Kingdom,N,
4364,2975,Directed,67693,,,2,NUX,SVX,,0,CR2,7R,BRA-Transportes Aereos,\N,7R,BRB,BRA-TRANSPAEREOS,Brazil,N,
4078,2968,Directed,67694,,,2,OVB,CEK,,0,A81,2G,Cargoitalia,\N,2G,CRG,WHITE PELICAN,Italy,N,
4078,2975,Directed,67695,,,5,OVB,SVX,,0,CR2,YC,Ciel Canadien,\N,YC,YCC,Ciel,Canada,Y,
2975,2990,Directed,67696,,,1,SVX,KZN,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2975,6969,Directed,67697,,,1,SVX,NBC,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
2975,2972,Directed,67698,,,2,SVX,NJC,,0,AT7,UR,UTair-Express,\N,UR,\N,AEROCONDOR,Russia,Y,
2975,4364,Directed,67699,,,2,SVX,NUX,,0,CR2,7R,BRA-Transportes Aereos,\N,7R,BRB,BRA-TRANSPAEREOS,Brazil,N,
2975,4078,Directed,67700,,,5,SVX,OVB,,0,CR2,YC,Ciel Canadien,\N,YC,YCC,Ciel,Canada,Y,
6160,4029,Directed,67702,,,1,UUA,DME,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6160,2948,Directed,67703,,,1,UUA,LED,,0,CR2,2B,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y,
6160,2972,Directed,67704,,,2,UUA,NJC,,0,CR2,IOS,Isles of Scilly Skybus,\N,2B,IOS,SCILLONIA,United Kingdom,N,
