Id,Label,timeset,airport_id,airport_name,airport_city,airport_country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,airport_dst,airport_tz,airport_type,data_source,background_map_node,lat,lng,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,,,1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.08169,145.391998,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,,,,4,4,8,5,5,10,9,0.228465,0.239273,0,0.000054,0.000054,1793,1,0.000176,0,19,1,0.00144
2,,,2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20708,145.789001,20,10,U,Pacific/Port_Moresby,airport,OurAirports,,,,7,7,14,8,8,16,9,0.228515,0.239752,7.333333,0.000056,0.000056,1793,0.571429,0.000282,0,19,0.571429,0.001969
3,,,3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.82679,144.296005,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,,,,9,8,17,12,10,22,9,0.228532,0.239911,18.666667,0.000058,0.000057,1793,0.388889,0.000398,0,19,0.375,0.002296
4,,,4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,,,,9,9,18,11,11,22,9,0.228549,0.240071,20.5,0.000058,0.000059,1793,0.388889,0.000351,0,19,0.388889,0.002338
5,,,5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338,147.220001,146,10,U,Pacific/Port_Moresby,airport,OurAirports,,,,32,32,64,47,48,95,8,0.296006,0.320639,148011.088035,0.003537,0.003531,1793,0.125,0.001286,0,19,0.122984,0.033689
6,,,6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383,143.669006,19,10,U,Pacific/Port_Moresby,airport,OurAirports,,,,4,4,8,6,6,12,9,0.228465,0.239273,0.666667,0.000054,0.000054,1793,0.833333,0.000225,0,19,0.833333,0.00139
7,,,7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1605,-45.425999,112,-3,E,America/Godthab,airport,OurAirports,,,,5,5,10,5,5,10,9,0.21508,0.223197,25173.348261,0.000032,0.000032,0,0.3,0.000345,0,19,0.3,0.001029
8,,,8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.1917,-51.6744,283,-3,E,America/Godthab,airport,OurAirports,,,,8,8,16,8,8,16,8,0.24877,0.261962,52646.406039,0.000599,0.000611,0,0.178571,0.000486,0,19,0.178571,0.004571
9,,,9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.012222,-50.711603,165,-3,E,America/Godthab,airport,OurAirports,,,,7,7,14,7,7,14,8,0.269747,0.285328,66795.920229,0.001617,0.001603,0,0.285714,0.000395,0,19,0.285714,0.009727
10,,,10,Thule Air Base,Thule,Greenland,THU,BGTL,76.531197,-68.703201,251,-4,E,America/Thule,airport,OurAirports,,,,1,1,2,1,1,2,12,0.130788,0.132764,0,0,0,0,0,0.000148,0,19,0,0.000156
11,,,11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.660004,-18.072701,6,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,1,1,2,1,1,2,10,0.16619,0.17015,0,0,0,0,0,0.000128,0,19,0,0.000172
12,,,12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.283302,-14.4014,76,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,1,1,2,1,1,2,10,0.16619,0.17015,0,0,0,0,0,0.000128,0,19,0,0.000172
13,,,13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000039,1,20,0,0
14,,,14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000039,2,21,0,0
15,,,15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.058098,-23.1353,8,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,1,1,2,1,1,2,10,0.16619,0.17015,0,0,0,0,0,0.000128,0,19,0,0.000172
16,,,16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985001,-22.6056,171,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,34,32,66,46,45,91,7,0.329722,0.359095,69868.685316,0.040247,0.039418,234,0.486631,0.000433,0,19,0.484848,0.232367
17,,,17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000039,3,22,0,0
18,,,18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.129997,-21.940599,48,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,4,4,8,4,4,8,9,0.199301,0.20634,18807,0.000009,0.000009,0,0,0.000418,0,19,0,0.000688
19,,,19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000039,4,23,0,0
20,,,20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.424301,-20.2789,326,0,N,Atlantic/Reykjavik,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.000039,5,24,0,0
21,,,21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.485001,-84.509399,630,-5,A,America/Toronto,airport,OurAirports,,,,4,4,8,4,4,8,8,0.282432,0.297119,9.127396,0.001439,0.001434,67,0.833333,0.00012,0,19,0.75,0.009871
22,,,22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,CYAV,50.0564,-97.032501,760,-6,A,America/Winnipeg,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.000039,6,25,0,0
23,,,23,Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,44.639702,-63.499401,144,-4,A,America/Halifax,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.000039,7,26,0,0
24,,,24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.391899,-56.083099,108,-3.5,A,America/St_Johns,airport,OurAirports,,,,3,3,6,3,3,6,9,0.233224,0.242254,3738.360924,0.000106,0.000105,67,0.666667,0.00013,0,19,0.666667,0.001206
25,,,25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.000039,8,27,0,0
26,,,26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.000039,9,28,0,0
27,,,27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.1325,-68.204399,71,-5,A,America/Toronto,airport,OurAirports,,,,4,4,8,6,6,12,8,0.260425,0.274846,1.458077,0.001081,0.0011,67,1,0.000145,0,19,0.916667,0.007493
28,,,28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.330601,-70.996399,522,-5,A,America/Toronto,airport,OurAirports,,,,4,4,8,4,4,8,8,0.26036,0.274777,201.751622,0.000949,0.001086,67,0.8,0.00012,0,19,0.75,0.007712
29,,,29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.298897,-96.077797,59,-6,A,America/Winnipeg,airport,OurAirports,,,,3,4,7,6,6,12,10,0.190277,0.19666,1.666667,0.000002,0.000002,70,0.5,0.00022,0,19,0.5,0.000743
30,,,30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.950802,-125.271004,346,-8,A,America/Vancouver,airport,OurAirports,,,,3,3,6,6,6,12,9,0.263578,0.27652,3146.18415,0.000579,0.000578,941,0.333333,0.000151,0,19,0.333333,0.004502
31,,,31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports,,,,1,1,2,1,1,2,9,0.254547,0.265787,0,0.000454,0.000455,941,0,0.00005,0,19,0,0.003189
32,,,32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.108101,-105.138,90,-7,A,America/Edmonton,airport,OurAirports,,,,4,4,8,6,6,12,10,0.205157,0.212579,5.333333,0.000015,0.000015,70,0.666667,0.000259,0,19,0.666667,0.000871
33,,,33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.05497,-123.869863,92,-8,A,America/Vancouver,airport,OurAirports,,,,2,2,4,2,2,4,9,0.265161,0.27841,0,0.001015,0.001013,941,1,0.000061,0,19,1,0.007247
34,,,34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296398,-117.632004,1624,-8,A,America/Vancouver,airport,OurAirports,,,,2,2,4,2,2,4,9,0.265161,0.27841,0,0.001015,0.001013,941,1,0.000061,0,19,1,0.007247
35,,,35,Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,-4,A,America/Halifax,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.000039,10,29,0,0
36,,,36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,132,-4,A,America/Halifax,airport,OurAirports,,,,2,2,4,2,2,4,9,0.240175,0.250877,2.041579,0.000242,0.000253,67,0,0.000073,0,19,0,0.002025
37,,,37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.816704,-115.143997,74,-7,A,America/Edmonton,airport,OurAirports,,,,3,3,6,5,5,10,10,0.20521,0.212606,9387.833333,0.000015,0.000015,70,0.333333,0.000227,0,19,0.333333,0.000707
38,,,38,Coronation Airport,Coronation,Canada,YCT,CYCT,52.075001,-111.445,2595,-7,A,America/Edmonton,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.000039,11,30,0,0
39,,,39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.152802,-121.939003,32,-8,A,America/Vancouver,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.000039,12,31,0,0
40,,,40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.486099,-68.516701,87,-5,A,America/Toronto,airport,OurAirports,,,,2,2,4,4,4,8,10,0.196306,0.202523,3133.5,0.000004,0.000004,70,0,0.000198,0,19,0,0.000397
41,,,41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.193298,-83.359398,210,-5,A,America/Coral_Harbour,airport,OurAirports,,,,4,4,8,5,6,11,10,0.190288,0.196713,52.061063,0.000002,0.000002,70,0.333333,0.000205,0,19,0.333333,0.000735
42,,,42,Dawson City Airport,Dawson,Canada,YDA,CYDA,64.043098,-139.128006,1215,-8,A,America/Vancouver,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.000039,13,32,0,0
